rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:0DWdj2oZMBFSzRsi2Cvfzf","KAROL G, Shakira","TQG","UMLE - Latino",1,1,11,"935197"
2,"spotify:track:4FAKtPVycI4DxoOHC01YqD","Yandel, Feid","Yandel 150","La Leyenda LLC",1,2,76,"560626"
3,"spotify:track:1DxEbt6OSbrkRthk6pjZue","LiL CaKe, Migrantes, Nico Valdi","MERCHO","Sony Music Argentina",2,3,44,"486797"
4,"spotify:track:0Sfn2TYbpQtCGMBf6C0Y6T","Quevedo, Myke Towers","PLAYA DEL INGLÉS","Quevedo",1,4,82,"485202"
5,"spotify:track:0Iozrbed8spxoBnmtBMshO","Quevedo","WANDA","Quevedo",2,7,46,"419488"
6,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",1,6,284,"394826"
7,"spotify:track:4nrPB8O7Y7wsOCJdgXkthe","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","DALE PLAY Records",1,5,54,"392260"
8,"spotify:track:4WiQA1AGWHFvaxBU6bHghs","Quevedo","PUNTO G","Quevedo",1,8,123,"384983"
9,"spotify:track:04ndZkbKGthTgYSv3xS7en","TINI","Cupido","5020 Records",9,11,20,"380492"
10,"spotify:track:20CozgjF6bshBw8cLhN23B","Vicco","Nochentera","Sony Music Entertainment",9,9,33,"376415"
11,"spotify:track:1dw7qShk971xMD6r6mA4VN","KAROL G, Quevedo","PERO TÚ","UMLE - Latino",9,12,11,"349643"
12,"spotify:track:2mnXxnrX5vCGolNkaFvVeM","Arcángel, Bad Bunny","La Jumpa","Rimas Entertainment LLC.",1,10,97,"339238"
13,"spotify:track:1zsPaEkglFvxjAhrM8yhpr","Ozuna, Feid","Hey Mor","Aura Music Corp.",2,14,151,"318953"
14,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",2,13,53,"313273"
15,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",1,15,244,"278531"
16,"spotify:track:38UYeBLfvpnDSG9GznZdnL","Gorillaz, Bad Bunny","Tormenta (feat. Bad Bunny)","Parlophone UK",16,16,11,"277400"
17,"spotify:track:4NoOME4Dhf4xgxbHDT7VGe","KAROL G, Romeo Santos","X SI VOLVEMOS","UMLE - Latino",9,17,32,"275727"
18,"spotify:track:5qP24CrDI0rmY5zwRvUfzU","Quevedo","AHORA QUÉ","Quevedo",2,18,47,"251606"
19,"spotify:track:0CYTGMBYkwUxrj1MWDLrC5","Feid","CHORRITO PA LAS ANIMAS","UMLE - Latino",18,21,95,"249257"
20,"spotify:track:2SiAcexM2p1yX6joESbehd","ROSALÍA","LLYLM","Columbia",2,22,39,"240958"
21,"spotify:track:0FirgnvrpCkkhdaq64Gfen","Quevedo","YANKEE","Quevedo",7,23,46,"239272"
22,"spotify:track:5q86iSKkBtOoNkdgEDY5WV","Quevedo","VISTA AL MAR","Quevedo",2,20,180,"235679"
23,"spotify:track:2CeKVsFFXG4QzA415QygGb","Feid","Feliz Cumpleaños Ferxxo","UMLE - Latino",9,25,200,"233014"
24,"spotify:track:16dUQ4quIHDe4ZZ0wF1EMN","KAROL G, Ovy On The Drums","CAIRO","UMLE - Latino",13,27,113,"231123"
25,"spotify:track:06s3QtMJVXw1AJX3UfvZG1","Anuel AA, Bad Bunny","Hasta Que Dios Diga","2020 Real Hasta La Muerte, LLC",1,19,425,"225425"
26,"spotify:track:0NO2zL0kw8sGGnaMvHKAZF","Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile","Marisola - Remix","Virgin Music Chile",18,24,81,"225156"
27,"spotify:track:4EQOGfssbSpTlV6EZRtrSv","Myke Towers, Daddy Yankee","ULALA (OOH LA LA)","WEA Latina",15,26,102,"220796"
28,"spotify:track:51FvjPEGKq2zByeeEQ43V9","Marshmello, Manuel Turizo","El Merengue","Sony Music Latin",28,40,4,"217014"
29,"spotify:track:2I0aHZjCXh6UjMHIOqugYF","Rauw Alejandro, Angel Dior","TAMO EN NOTA","Sony Music Latin/Duars Entertainment",29,30,22,"213120"
30,"spotify:track:3mFNc5EQn30irR983Wg9OD","KAROL G, Bad Gyal, Sean Paul","KÁRMIKA","UMLE - Latino",20,28,11,"211012"
31,"spotify:track:4uVEdikP5eLUy8Dq6gjiPV","Rauw Alejandro, Daddy Yankee","PANTIES Y BRASIERES","Sony Music Latin/Duars Entertainment",18,32,40,"209533"
32,"spotify:track:6OzUIp8KjuwxJnCWkXp1uL","Wisin & Yandel, ROSALÍA","Besos Moja2","Sony Music Latin",6,37,158,"188113"
33,"spotify:track:7MVIfkyzuUmQ716j8U7yGR","Taiu, Milo j","Rara Vez","Universal Music Argentina S.A.",32,41,17,"185312"
34,"spotify:track:5jt25aFjW2kNoBqaEVaz5W","Mora, Feid","LA INOCENTE","Rimas Entertainment LLC",7,36,340,"185139"
35,"spotify:track:2hLXUbsOU9cDb9RFva9FYr","Mora, Jhayco","MEMORIAS","Rimas Entertainment LLC",6,31,340,"184918"
36,"spotify:track:3vKYvbzB7801a5qd47pxkm","Mora, Quevedo","APA","Rimas Entertainment LLC",1,38,123,"183776"
37,"spotify:track:7hlPoVZ1uz7FiQagPTVbQG","Daviles de Novelda, Abraham Mateo","Te Miro A La Cara","Sony Music Entertainment",27,34,39,"180041"
38,"spotify:track:53tfEupEzQRtVFOeZvk7xq","ROSALÍA","DESPECHÁ","Columbia",1,29,222,"179672"
39,"spotify:track:5yocaqYG38qpSSxV1t0o3D","Quevedo, Omar Montes","DAME","Quevedo",9,39,46,"178933"
40,"spotify:track:0xCRFfgIHOsmovVZzrFCoT","Rvfv, Morad, Pablo Mas","Dominicana","NASTU MUSIC",12,33,95,"177386"
41,"spotify:track:3pjvkWO9fqiRRBE1tDLu3S","Quevedo, Ovy On The Drums","SIN SEÑAL","Quevedo",4,35,228,"172003"
42,"spotify:track:31jtlGwefCdtqNOSpLq82U","Saiko, Came Beats","Polaris","2022 Saiko",39,42,41,"171760"
43,"spotify:track:3szqC0lxrJdhn3eW6FfFfo","Bad Gyal","Chulo","Universal Music Latino/Interscope",15,43,25,"167926"
44,"spotify:track:4yPmTUkWmUfLPQLCccp0DR","TINI, La Joaqui, Steve Aoki","Muñecas","5020 Records",38,47,53,"166541"
45,"spotify:track:54ELExv56KCAB4UP9cOCzC","Ñengo Flow, Bad Bunny","Gato de Noche","Rimas Entertainment LLC",5,45,74,"166253"
