Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
73,,Big Booty,"Hozwal, Young Miko & Lil Geniuz",3,234240,,https://www.youtube.com/watch?v=1Ax1vbO6FxA
74,82,Cuzi Cuza,Morad,6,229667,-7.4%,https://www.youtube.com/watch?v=gl3IJF9E9zI
75,,Lisa,Young Miko,1,228910,,https://www.youtube.com/watch?v=Y7a_s5OCD5A
76,77,"Music Sessions, Vol. 50",Bizarrap & Duki,17,228353,-12.2%,https://www.youtube.com/watch?v=Gzs60iBgd3E
77,59,TUS GAFITAS,KAROL G,2,227519,-36.1%,https://www.youtube.com/watch?v=WCQ4jXm9OtM
78,54,GUCCI LOS PAÑOS,KAROL G,2,227248,-40.3%,https://www.youtube.com/watch?v=sqI2shGJTGA
79,84,ULALA (OOH LA LA),Myke Towers & Daddy Yankee,11,225995,-7.4%,https://www.youtube.com/watch?v=9k3wMoQn-DQ
80,86,DE CAROLINA (feat. DJ Playero),Rauw Alejandro,14,224673,-5.2%,https://www.youtube.com/watch?v=xdbKWG3RGqY
81,94,Rosas,La Oreja de Van Gogh,12,220337,8.2%,https://www.youtube.com/watch?v=nYnLVWXmRm8
82,88,Vida Gangster,Lauty Gram,5,219506,-5.6%,https://www.youtube.com/watch?v=pZjIxHpNQMs
83,79,Loba,Shakira,8,218257,-13.4%,https://www.youtube.com/watch?v=C7ssrLSheg4
84,91,Lo Justo,Maka,17,215673,-3.1%,https://www.youtube.com/watch?v=NsESLBbOeK8
85,64,Die For You,The Weeknd & Ariana Grande,2,215160,-34.9%,https://www.youtube.com/watch?v=YQ-qToZUybM
86,,Gangsta's Paradise (feat. L.V.),Coolio,13,213516,,https://www.youtube.com/watch?v=fPO76Jlnz6c
87,92,Bailando por Ahi,Juan Magán,4,212957,-2.3%,https://www.youtube.com/watch?v=9m6ogS57sc8
88,89,Besalo (feat. Rauw Alejandro),El Alfa,4,212090,-7.5%,https://www.youtube.com/watch?v=HLY2PEh27E0
89,,911,Sech,32,209870,,https://www.youtube.com/watch?v=URdNstAiuaE
90,,Bankinter,Midas Alonso,1,209380,,https://www.youtube.com/watch?v=yHmU-ezkrB0
91,99,Sikora,Saiko & The Prodigiez,4,207851,3.4%,https://www.youtube.com/watch?v=5KJWuLZPk9o
92,95,Tu Cara,Galvan Real & Saray Jiménez,7,203075,0.3%,https://www.youtube.com/watch?v=OmLXYl7Ooyc
93,,MALA (feat. Anuel AA),6ix9ine,20,196795,,https://www.youtube.com/watch?v=mOvSub-yTRI
94,,La Última Vez,Anuel AA & Bad Bunny,22,193360,,https://www.youtube.com/watch?v=6DuvxZ-NReA
95,,Limbo,Daddy Yankee,3,191938,,https://www.youtube.com/watch?v=6BTjG-dhf5s
96,41,Me He Pillao x Ti,Ana Mena & Natalia Lacunza,2,190663,-63%,https://www.youtube.com/watch?v=fg_Td9Z3kaQ
97,,Ella y Yo (feat. Don Omar),Aventura,14,187418,,https://www.youtube.com/watch?v=Lg_Pn45gyMs
98,,LISBOA,Quevedo,6,187016,,https://www.youtube.com/watch?v=-v_RNVrYF4s
99,,QUÉ RICO CH**GAMOS,Rauw Alejandro,1,185558,,https://www.youtube.com/watch?v=SRPjb9UbaRM
100,,Por la Boca Vive el Pez,Fito & Fitipaldis,4,183023,,https://www.youtube.com/watch?v=iUXs4Nt3Y7Y
